,id,brand,title,sold_price,actual_price,url,img
10,11,VIPSJAZZY,Formal Office Daily use Decent Slip On Shoe Slip On For...,₹449,"₹1,299",https://www.flipkart.com/vipsjazzy-formal-office-daily-use-decent-slip-shoe-men/p/itm3e3639e738b98?pid=SHOGBHTS7VHSSAK5&lid=LSTSHOGBHTS7VHSSAK5A4GERJ&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_11&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=en_FeOnjOvp2xgNJQ4fgP1oKvwIIAf0NOdrSNEeocRQV87IfhGlz9c0i6ocU0Ih0rdRqQeQO3H8lcB7YRBQjgJvwQ%3D%3D&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/a/n/q/9-vip-242-black-vipsjazzy-black-original-imagbhtpakszxgff-bb.jpeg?q=70
11,12,VIPSJAZZY,Formal Stylish Fancy Party Wear Special Event Lace Up S...,₹400,"₹1,299",https://www.flipkart.com/vipsjazzy-formal-stylish-fancy-party-wear-special-event-lace-up-shoe-men/p/itm5258aec61ca39?pid=SHOGCF4UZDSRR5EH&lid=LSTSHOGCF4UZDSRR5EH30FTTI&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_12&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=en_FeOnjOvp2xgNJQ4fgP1oKvwIIAf0NOdrSNEeocRQV87SFZAzzZRYay80bVFgh9Srv9yUJ8uvILlk1N4MnbrEQQ%3D%3D&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/l071d3k0/shoe/h/f/i/10-vip-243-vipsjazzy-black-original-imagcf4umwzgmjhb.jpeg?q=70
12,13,action,"Action Dotcom OFFICE-42 Light Weight,Comfortable,Trendy...",₹719,"₹1,699",https://www.flipkart.com/action-dotcom-office-42-light-weight-comfortable-trendy-office-men/p/itm44656657a88bf?pid=SHOG9JJYPZKCAZ4G&lid=LSTSHOG9JJYPZKCAZ4GPMRVHG&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_13&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOG9JJYPZKCAZ4G.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/l3vxbbk0/shoe/h/c/b/7-office-42-black-7-action-black-original-imagewt4py44tfdx.jpeg?q=70
13,14,Bata,Boss-Victor Slip On For Men,₹679,₹999,https://www.flipkart.com/bata-boss-victor-slip-men/p/itmec07208e3933a?pid=SHOGEHMAHG6KF7TG&lid=LSTSHOGEHMAHG6KF7TGDTUXGC&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_14&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOGEHMAHG6KF7TG.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/d/g/5/-original-imagq9jfvzbnszrj.jpeg?q=70
14,15,VIPSJAZZY,241 Lace Up For Men,₹398,"₹1,499",https://www.flipkart.com/vipsjazzy-241-lace-up-men/p/itm3e4fd953c5bf8?pid=SHOGRFG8V3PHWE2J&lid=LSTSHOGRFG8V3PHWE2JUP3DAO&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_15&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOGRFG8V3PHWE2J.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/f/e/y/8-241-42-vipsjazzy-black-original-imagrfg6wcfu8jzf.jpeg?q=70
15,16,LIBERTY,HOL-125E Genuine Leather Brogues For Men,₹649,"₹2,199",https://www.flipkart.com/liberty-hol-125e-genuine-leather-brogues-men/p/itm9bc260a74190a?pid=SHOGM6VKHZF45GGR&lid=LSTSHOGM6VKHZF45GGR7IGIKK&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_16&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOGM6VKHZF45GGR.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/r/5/w/-original-imagmxphqrhc3u5d.jpeg?q=70
16,17,Bata,For Men,₹755,"₹1,199",https://www.flipkart.com/bata-for-men/p/itm05e78c8474bf2?pid=SHOGD3976GDKGUNA&lid=LSTSHOGD3976GDKGUNALYEH8P&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_17&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=en_FeOnjOvp2xgNJQ4fgP1oKvwIIAf0NOdrSNEeocRQV84GY2subDjvjDP9dRWvcE6seb5ybFQUi6f9z76CPjqwaQ%3D%3D&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/g/k/h/-original-imaggdy8vpknnsjg.jpeg?q=70
17,18,Rising Wolf,Lace Up For Men,₹649,"₹1,599",https://www.flipkart.com/rising-wolf-lace-up-men/p/itm6ff7b6e7debf0?pid=SHOFXG5PGMQ6KHYC&lid=LSTSHOFXG5PGMQ6KHYCQC2XPX&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_18&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=en_FeOnjOvp2xgNJQ4fgP1oKvwIIAf0NOdrSNEeocRQV86eqhZE0-9n1T5U7HUWDVz0_64lE7tcQFn5L0ZV4RejAw%3D%3D&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/kuof5ow0/shoe/f/p/t/8-br719-42-rising-wolf-brown-original-imag7qyaqejfzqmh.jpeg?q=70
18,19,AJANTA,Slip On For Men,₹298,₹799,https://www.flipkart.com/ajanta-slip-men/p/itme46e19cd88c67?pid=SHOGFSVUS4YZZT3C&lid=LSTSHOGFSVUS4YZZT3C2ROFHN&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_19&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOGFSVUS4YZZT3C.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/t/f/m/-original-imaggcb3hrx8p5hn.jpeg?q=70
19,20,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,"₹1,999",https://www.flipkart.com/aadi-synthetic-leather-lightweight-comfort-summer-trendy-walking-outdoor-daily-use-slip-men/p/itmf3xu2f7mvhshh?pid=SHOEFJU9YWH9WGHF&lid=LSTSHOEFJU9YWH9WGHFHIGBGM&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_20&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=c51785cb-48c5-43a1-beaa-94fb0de1fc16.SHOEFJU9YWH9WGHF.SEARCH&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/9/0/c/10-holli-301-10-aadi-black-original-imagdzrqbusb2vxy-bb.jpeg?q=70
20,21,RED CHIEF,RC3511 001 Lace Up For Men,"₹2,651","₹5,099",https://www.flipkart.com/red-chief-rc3511-001-lace-up-men/p/itmf3xj5uakz7pzz?pid=SHOEXGC7EBDVCFVJ&lid=LSTSHOEXGC7EBDVCFVJT8O4SL&marketplace=FLIPKART&store=osp%2Fcil%2Fssb&srno=b_1_21&otracker=nmenu_sub_Men_0_Formal%20Shoes&fm=organic&iid=en_FeOnjOvp2xgNJQ4fgP1oKvwIIAf0NOdrSNEeocRQV84neO8l4R8R7A7bs_VtC_bPGbi7bjhedKRLTUQNsfDQoQ%3D%3D&ppt=None&ppn=None&ssid=wb8g22qd800000001691872649863,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/e/e/d/-original-imagfywbjcem6bja-bb.jpeg?q=70
